
--- 2026-08-13 10:08:36 Logging Started on ---
10:08:36 [D] Plugin Load file path,C:\Users\huan_kong\Desktop\code\hikCamChecker\VideoSDK_Win64\bin\play_ctrl_config.xml, 738197504!  [CPluginMgr::StaticLoadPlugins:266]
10:08:36 [I] delayload [play_plugins/hik_play_plugin/hik_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:08:36 [D] ProcPluginLoad, Plugin: hik  [CPluginMgr::LoadPlugin:588]
10:08:36 [D] Plugin Load Success, pszProcName:hik!  [CPluginMgr::LoadPlugin:756]
10:08:36 [I] delayload [play_plugins/dahua_play_plugin/dahua_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:08:36 [D] ProcPluginLoad, Plugin: dahua  [CPluginMgr::LoadPlugin:588]
10:08:36 [D] Plugin Load Success, pszProcName:dahua!  [CPluginMgr::LoadPlugin:756]
10:08:36 [I] delayload [play_plugins/chengfeng_play_plugin/chengfeng_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:08:36 [D] ProcPluginLoad, Plugin: chengfeng  [CPluginMgr::LoadPlugin:588]
10:08:36 [D] Plugin Load Success, pszProcName:chengfeng!  [CPluginMgr::LoadPlugin:756]
10:08:36 [I] delayload [play_plugins/hik_play_plugin/hik_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:08:36 [D] ProcPluginLoad, Plugin: db33  [CPluginMgr::LoadPlugin:588]
10:08:36 [D] Plugin Load Success, pszProcName:db33!  [CPluginMgr::LoadPlugin:756]
10:08:36 [I] delayload [play_plugins/infinova_play_plugin/infinova_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:08:36 [D] ProcPluginLoad, Plugin: infinova  [CPluginMgr::LoadPlugin:588]
10:08:36 [D] Plugin Load Success, pszProcName:infinova!  [CPluginMgr::LoadPlugin:756]
10:08:36 [I] delayload [play_plugins/hb_play_plugin/hb_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:08:36 [D] ProcPluginLoad, Plugin: hb  [CPluginMgr::LoadPlugin:588]
10:08:36 [D] Plugin Load Success, pszProcName:hb!  [CPluginMgr::LoadPlugin:756]
10:08:36 [D] Vag playctrl sdk init success!  [VPLAY_Init:108]
10:09:04 [D] Vag playctrl sdk fini success!  [VPLAY_Fini:137]
